project_id,mp_id,state,constituency,allocated_amount,work_type,location_id,project_description,estimated_cost,sanctioned_amount,baseline_expenditure,expenditure,payment_count,start_date,expected_completion,actual_completion,status,physical_progress_pct,financial_progress_pct,is_injected_anomaly,anomaly_type,anomaly_severity,severity_score,duplicate_group_id,project_remaining_balance,expenditure_delta,mp_allocation_breach_cause,mp_remaining_allocation
PRJ_000001,MPID_0000,Maharashtra,HINGOLI,190289442.0,drainage,LOC_MPID_0000_82,Construction of drain at drainage at LOC_MPID_0000_82,3314848.35,3049290.93,2104876.58,3648209.35,4,2026-07-02,2026-09-03,,in_progress,80.09,119.64,1,cost_overrun,LOW,1,none,-598918.42,1543332.77,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000002,MPID_0000,Maharashtra,HINGOLI,190289442.0,drainage,LOC_MPID_0000_36,Construction of drain at drainage at LOC_MPID_0000_36,2383599.78,2073540.86,2047617.5,2203136.99,5,2026-01-06,2026-04-04,2026-03-28,completed,100.0,106.25,1,cost_overrun,LOW,1,none,-129596.13,155519.49,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000003,MPID_0000,Maharashtra,HINGOLI,190289442.0,community_hall,LOC_MPID_0000_87,Construction of community hall at LOC_MPID_0000_87,20956514.1,18468638.14,17605883.69,36707742.89,11,2024-09-20,2025-06-18,2025-06-02,completed,100.0,198.76,1,cost_overrun,HIGH,3,none,-18239104.75,19101859.2,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000004,MPID_0000,Maharashtra,HINGOLI,190289442.0,school,LOC_MPID_0000_4,Additional classrooms for school at LOC_MPID_0000_4,10373720.93,9713282.55,9499415.66,12843812.99,5,2025-06-07,2025-12-29,2026-02-11,completed,100.0,132.23,1,cost_overrun,MEDIUM,2,none,-3130530.44,3344397.33,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000005,MPID_0000,Maharashtra,HINGOLI,190289442.0,road,LOC_MPID_0000_78,Construction of road at LOC_MPID_0000_78,5568504.32,5420580.9,4273054.21,5864370.92,6,2026-01-23,2026-10-31,,in_progress,73.55,108.19,1,cost_overrun,LOW,1,none,-443790.02,1591316.71,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000006,MPID_0000,Maharashtra,HINGOLI,190289442.0,road,LOC_MPID_0000_84,Widening of road at LOC_MPID_0000_84,5919921.04,5398432.8,5135824.95,5868343.54,7,2024-12-13,2026-01-11,2026-02-17,completed,100.0,108.7,1,cost_overrun,LOW,1,none,-469910.74,732518.59,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000007,MPID_0000,Maharashtra,HINGOLI,190289442.0,water_supply,LOC_MPID_0000_76,Laying pipelines for water supply at LOC_MPID_0000_76,6179247.29,5972242.1,781654.08,6999794.17,4,2026-07-24,2027-02-02,,in_progress,8.19,117.21,1,cost_overrun,LOW,1,none,-1027552.07,6218140.09,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000008,MPID_0000,Maharashtra,HINGOLI,190289442.0,drainage,LOC_MPID_0000_98,Construction of drain at drainage at LOC_MPID_0000_98,15779136.95,15234835.62,15124913.59,20088667.76,4,2025-01-20,2025-06-18,2025-07-11,completed,100.0,131.86,1,cost_overrun,MEDIUM,2,none,-4853832.14,4963754.17,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000009,MPID_0000,Maharashtra,HINGOLI,190289442.0,road,LOC_MPID_0000_36,Construction of road at LOC_MPID_0000_36,13096812.73,12360410.04,6232503.87,14754247.24,5,2026-02-03,2026-11-20,,in_progress,59.8,119.37,1,cost_overrun,LOW,1,none,-2393837.2,8521743.37,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000010,MPID_0000,Maharashtra,HINGOLI,190289442.0,drainage,LOC_MPID_0000_14,Construction of drain at drainage at LOC_MPID_0000_14,2275578.55,2271149.15,2205447.59,2686799.25,4,2026-01-29,2026-05-17,2026-06-11,completed,100.0,118.3,1,cost_overrun,LOW,1,none,-415650.1,481351.66,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000011,MPID_0000,Maharashtra,HINGOLI,190289442.0,road,LOC_MPID_0000_45,Widening of road at LOC_MPID_0000_45,14030582.45,12498107.79,12242080.89,18064527.38,4,2025-08-30,2026-07-11,2026-08-18,completed,100.0,144.54,1,cost_overrun,MEDIUM,2,none,-5566419.59,5822446.49,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000012,MPID_0000,Maharashtra,HINGOLI,190289442.0,community_hall,LOC_MPID_0000_69,Construction of community hall at LOC_MPID_0000_69,10464964.84,9569084.77,9231518.92,13101760.86,8,2024-08-11,2025-08-02,2025-07-23,completed,100.0,136.92,1,cost_overrun,MEDIUM,2,none,-3532676.09,3870241.94,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000013,MPID_0000,Maharashtra,HINGOLI,190289442.0,school,LOC_MPID_0000_71,Boundary wall for school at LOC_MPID_0000_71,1557050.93,1397033.5,1389667.8,1633708.04,6,2023-11-23,2024-11-19,2025-01-17,completed,100.0,116.94,1,cost_overrun,LOW,1,none,-236674.54,244040.24,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000014,MPID_0000,Maharashtra,HINGOLI,190289442.0,road,LOC_MPID_0000_47,Widening of road at LOC_MPID_0000_47,15495758.19,14566666.68,14299716.65,30794543.69,8,2023-11-29,2024-09-02,2024-08-21,completed,100.0,211.4,1,cost_overrun,HIGH,3,none,-16227877.01,16494827.04,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000015,MPID_0000,Maharashtra,HINGOLI,190289442.0,drainage,LOC_MPID_0000_6,Construction of drain at drainage at LOC_MPID_0000_6,4974370.95,4872518.69,2249027.42,7425824.23,8,2026-06-18,2026-11-23,,in_progress,42.68,152.4,1,cost_overrun,MEDIUM,2,none,-2553305.54,5176796.81,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000016,MPID_0000,Maharashtra,HINGOLI,190289442.0,community_hall,LOC_MPID_0000_11,Construction of community hall at LOC_MPID_0000_11,17813016.7,17113977.48,16732488.1,19569898.34,6,2025-06-06,2026-05-13,2026-06-10,completed,100.0,114.35,1,cost_overrun,LOW,1,none,-2455920.86,2837410.24,ANOMALY_CAUSED_BREACH,-11965945.64
PRJ_000017,MPID_0001,Jammu And Kashmir,BARAMULLAH,147000000.0,drainage,LOC_MPID_0001_36,Covering of drainage in drainage at LOC_MPID_0001_36,2590558.63,2265017.58,2265017.58,2411600.93,4,2026-04-10,2026-08-29,,in_progress,97.13,106.47,1,cost_overrun,LOW,1,none,-146583.35,146583.35,ANOMALY_CAUSED_BREACH,-21730762.09
